Year,State,Demographic,Comparing (Focus group),Cigarette Use Prevalence % (Focus group),To (Reference group),Cigarette Use Prevalence % (Reference group),Disparity Value,Mean Disparity Value (Focus Group),region
2011,Alabama,Age,Age 18-24,30.3,Age 25-44,28.1,1.1,1.76666666666667,South
2011,Alabama,Age,Age 18-24,30.3,Age 45-64,26,1.2,1.76666666666667,South
2011,Alabama,Age,Age 18-24,30.3,Age 65 or older,10.2,3,1.76666666666667,South
2011,Alabama,Age,Age 25-44,28.1,Age 18-24,30.3,0.9,1.6,South
2011,Alabama,Age,Age 25-44,28.1,Age 45-64,26,1.1,1.6,South
2011,Alabama,Age,Age 25-44,28.1,Age 65 or older,10.2,2.8,1.6,South
2011,Alabama,Age,Age 45-64,26,Age 18-24,30.3,0.9,1.43333333333333,South
2011,Alabama,Age,Age 45-64,26,Age 25-44,28.1,0.9,1.43333333333333,South
2011,Alabama,Age,Age 45-64,26,Age 65 or older,10.2,2.5,1.43333333333333,South
2011,Alabama,Age,Age 65 or older,10.2,Age 18-24,30.3,0.3,0.366666666666667,South
2011,Alabama,Age,Age 65 or older,10.2,Age 25-44,28.1,0.4,0.366666666666667,South
2011,Alabama,Age,Age 65 or older,10.2,Age 45-64,26,0.4,0.366666666666667,South
2011,Alaska,Age,Age 18-24,21.8,Age 25-44,26.3,0.8,1.16666666666667,West
2011,Alaska,Age,Age 18-24,21.8,Age 45-64,23.1,0.9,1.16666666666667,West
2011,Alaska,Age,Age 18-24,21.8,Age 65 or older,12.4,1.8,1.16666666666667,West
2011,Alaska,Age,Age 25-44,26.3,Age 18-24,21.8,1.2,1.46666666666667,West
2011,Alaska,Age,Age 25-44,26.3,Age 45-64,23.1,1.1,1.46666666666667,West
2011,Alaska,Age,Age 25-44,26.3,Age 65 or older,12.4,2.1,1.46666666666667,West
2011,Alaska,Age,Age 45-64,23.1,Age 18-24,21.8,1.1,1.3,West
2011,Alaska,Age,Age 45-64,23.1,Age 25-44,26.3,0.9,1.3,West
2011,Alaska,Age,Age 45-64,23.1,Age 65 or older,12.4,1.9,1.3,West
2011,Alaska,Age,Age 65 or older,12.4,Age 18-24,21.8,0.6,0.533333333333333,West
2011,Alaska,Age,Age 65 or older,12.4,Age 25-44,26.3,0.5,0.533333333333333,West
2011,Alaska,Age,Age 65 or older,12.4,Age 45-64,23.1,0.5,0.533333333333333,West
2011,Arizona,Age,Age 18-24,19.2,Age 25-44,23.2,0.8,1.26666666666667,West
